movie,recommendations
1580,"[Row(user=2867, rating=5.209447860717773), Row(user=283, rating=5.079652786254883), Row(user=5973, rating=5.0673723220825195), Row(user=3902, rating=4.96230411529541), Row(user=2329, rating=4.940503120422363), Row(user=2441, rating=4.91464900970459), Row(user=4201, rating=4.886825084686279), Row(user=1171, rating=4.882411956787109), Row(user=4801, rating=4.858128547668457), Row(user=5072, rating=4.8506879806518555)]"
471,"[Row(user=1341, rating=5.292231559753418), Row(user=2640, rating=5.097711563110352), Row(user=3235, rating=5.035076141357422), Row(user=5529, rating=4.928689956665039), Row(user=784, rating=4.870595455169678), Row(user=2981, rating=4.865174770355225), Row(user=4175, rating=4.818160057067871), Row(user=532, rating=4.79903507232666), Row(user=2527, rating=4.7937774658203125), Row(user=4052, rating=4.785107612609863)]"
1591,"[Row(user=2867, rating=4.477904319763184), Row(user=4143, rating=4.2183709144592285), Row(user=527, rating=4.20576810836792), Row(user=101, rating=4.174482345581055), Row(user=3902, rating=4.163084506988525), Row(user=2441, rating=4.155592441558838), Row(user=4801, rating=4.105062961578369), Row(user=5973, rating=4.038756370544434), Row(user=5400, rating=3.9929544925689697), Row(user=4166, rating=3.9803178310394287)]"
1342,"[Row(user=527, rating=6.368504047393799), Row(user=4228, rating=5.9412617683410645), Row(user=141, rating=5.6906304359436035), Row(user=745, rating=5.678951740264893), Row(user=1756, rating=5.598853588104248), Row(user=246, rating=5.574999809265137), Row(user=5983, rating=5.533884048461914), Row(user=2755, rating=5.52547550201416), Row(user=1157, rating=5.4353837966918945), Row(user=2867, rating=5.386410713195801)]"
2122,"[Row(user=527, rating=6.290626525878906), Row(user=141, rating=5.856180191040039), Row(user=2867, rating=5.779388904571533), Row(user=4228, rating=5.745030879974365), Row(user=1756, rating=5.7046074867248535), Row(user=246, rating=5.627347469329834), Row(user=46, rating=5.553816318511963), Row(user=4231, rating=5.522952079772949), Row(user=2428, rating=5.5153093338012695), Row(user=4143, rating=5.508416175842285)]"
2142,"[Row(user=4143, rating=5.262530326843262), Row(user=5973, rating=5.022851943969727), Row(user=5783, rating=5.015925407409668), Row(user=101, rating=4.923543453216553), Row(user=898, rating=4.918276786804199), Row(user=527, rating=4.899914741516113), Row(user=3979, rating=4.800442218780518), Row(user=283, rating=4.7622575759887695), Row(user=5590, rating=4.678259372711182), Row(user=1213, rating=4.659399509429932)]"
3794,"[Row(user=4441, rating=8.583986282348633), Row(user=4676, rating=7.707438945770264), Row(user=5901, rating=7.607337951660156), Row(user=5119, rating=7.5941972732543945), Row(user=4751, rating=7.552374362945557), Row(user=1213, rating=7.442563533782959), Row(user=1657, rating=7.305950164794922), Row(user=1929, rating=7.28941535949707), Row(user=5603, rating=7.000311374664307), Row(user=5297, rating=6.960134983062744)]"
463,"[Row(user=5297, rating=6.015031814575195), Row(user=4549, rating=5.788149356842041), Row(user=2364, rating=5.671733856201172), Row(user=2534, rating=5.540526390075684), Row(user=89, rating=5.517688274383545), Row(user=5560, rating=5.43421745300293), Row(user=5188, rating=5.415579795837402), Row(user=4145, rating=5.390985012054443), Row(user=1213, rating=5.370410442352295), Row(user=1102, rating=5.364169120788574)]"
833,"[Row(user=101, rating=4.695683479309082), Row(user=4143, rating=4.667906284332275), Row(user=527, rating=4.553989887237549), Row(user=2867, rating=4.551471710205078), Row(user=3902, rating=4.495471000671387), Row(user=898, rating=4.420231342315674), Row(user=3979, rating=4.399773120880127), Row(user=4801, rating=4.379680156707764), Row(user=2697, rating=4.355528354644775), Row(user=421, rating=4.329591274261475)]"
496,"[Row(user=5803, rating=7.520717620849609), Row(user=2582, rating=7.089427471160889), Row(user=1469, rating=6.846127033233643), Row(user=3234, rating=6.756657123565674), Row(user=4538, rating=6.73732852935791), Row(user=5045, rating=6.647897720336914), Row(user=3463, rating=6.646280288696289), Row(user=2828, rating=6.563777923583984), Row(user=3273, rating=6.423189163208008), Row(user=381, rating=6.417366027832031)]"
2366,"[Row(user=745, rating=6.710467338562012), Row(user=5810, rating=6.159075736999512), Row(user=4493, rating=6.149240016937256), Row(user=527, rating=6.054370880126953), Row(user=2755, rating=5.933101177215576), Row(user=3545, rating=5.870306015014648), Row(user=700, rating=5.7783522605896), Row(user=269, rating=5.534216403961182), Row(user=1039, rating=5.5144877433776855), Row(user=141, rating=5.429727554321289)]"
2866,"[Row(user=283, rating=5.154082298278809), Row(user=527, rating=5.040089130401611), Row(user=3657, rating=5.000072002410889), Row(user=2755, rating=4.946586608886719), Row(user=2694, rating=4.8111748695373535), Row(user=3902, rating=4.772984504699707), Row(user=3296, rating=4.769694805145264), Row(user=1856, rating=4.749432563781738), Row(user=2867, rating=4.725507736206055), Row(user=597, rating=4.71954345703125)]"
148,"[Row(user=491, rating=8.123961448669434), Row(user=3570, rating=7.533132076263428), Row(user=599, rating=7.002242565155029), Row(user=1864, rating=6.838302135467529), Row(user=1918, rating=6.596551418304443), Row(user=2673, rating=6.579687118530273), Row(user=2696, rating=6.5649733543396), Row(user=4383, rating=6.510313034057617), Row(user=1102, rating=6.328014373779297), Row(user=1416, rating=6.314772605895996)]"
1088,"[Row(user=5297, rating=6.390997886657715), Row(user=1213, rating=6.187009334564209), Row(user=2364, rating=5.933906078338623), Row(user=283, rating=5.902060031890869), Row(user=4441, rating=5.706976890563965), Row(user=2502, rating=5.504181861877441), Row(user=2618, rating=5.485445022583008), Row(user=5122, rating=5.479790687561035), Row(user=1310, rating=5.477773666381836), Row(user=5072, rating=5.410184860229492)]"
1238,"[Row(user=3657, rating=5.619284152984619), Row(user=5810, rating=5.550664901733398), Row(user=2640, rating=5.479172229766846), Row(user=283, rating=5.465487957000732), Row(user=4244, rating=5.428756237030029), Row(user=2479, rating=5.242961883544922), Row(user=2107, rating=5.2370076179504395), Row(user=4676, rating=5.2199835777282715), Row(user=217, rating=5.214511394500732), Row(user=1213, rating=5.1935834884643555)]"
3918,"[Row(user=527, rating=6.352528095245361), Row(user=745, rating=6.262441635131836), Row(user=141, rating=6.075484752655029), Row(user=246, rating=5.789992809295654), Row(user=2867, rating=5.580165863037109), Row(user=4143, rating=5.528834342956543), Row(user=1756, rating=5.526061058044434), Row(user=46, rating=5.517076015472412), Row(user=4231, rating=5.4811110496521), Row(user=1157, rating=5.479299545288086)]"
1645,"[Row(user=2867, rating=5.130855560302734), Row(user=2339, rating=5.12514066696167), Row(user=5188, rating=5.099813461303711), Row(user=3902, rating=5.098670959472656), Row(user=2195, rating=5.069219589233398), Row(user=5697, rating=5.033258438110352), Row(user=4145, rating=4.993394374847412), Row(user=1856, rating=4.991987228393555), Row(user=5258, rating=4.989459991455078), Row(user=2441, rating=4.9788079261779785)]"
3175,"[Row(user=283, rating=5.356223106384277), Row(user=3657, rating=5.226214408874512), Row(user=5973, rating=5.176237106323242), Row(user=527, rating=5.058494567871094), Row(user=878, rating=5.0462446212768555), Row(user=2867, rating=5.035708904266357), Row(user=4143, rating=4.995828151702881), Row(user=1341, rating=4.987612724304199), Row(user=2755, rating=4.915992736816406), Row(user=882, rating=4.915050506591797)]"
1829,"[Row(user=1341, rating=4.108474254608154), Row(user=4175, rating=3.9637556076049805), Row(user=3296, rating=3.9062376022338867), Row(user=283, rating=3.8789825439453125), Row(user=2694, rating=3.8690481185913086), Row(user=5984, rating=3.8560848236083984), Row(user=2339, rating=3.840879201889038), Row(user=597, rating=3.8101325035095215), Row(user=2363, rating=3.8023784160614014), Row(user=1557, rating=3.799245834350586)]"
