user,recommendations
1580,"[Row(movie=1570, rating=7.546116828918457), Row(movie=729, rating=7.4111175537109375), Row(movie=3533, rating=6.802248001098633), Row(movie=3892, rating=6.758861064910889), Row(movie=557, rating=6.687480926513672), Row(movie=1539, rating=6.51204776763916), Row(movie=1493, rating=6.4466447830200195), Row(movie=2219, rating=6.354888916015625), Row(movie=2892, rating=6.3060455322265625), Row(movie=632, rating=6.2734375)]"
4900,"[Row(movie=980, rating=12.057696342468262), Row(movie=2964, rating=11.527994155883789), Row(movie=1570, rating=9.999335289001465), Row(movie=729, rating=9.997101783752441), Row(movie=3636, rating=9.197904586791992), Row(movie=1539, rating=8.658946990966797), Row(movie=3533, rating=8.046894073486328), Row(movie=1574, rating=7.967460632324219), Row(movie=1553, rating=7.955578804016113), Row(movie=2760, rating=7.934295177459717)]"
5300,"[Row(movie=980, rating=8.067110061645508), Row(movie=557, rating=7.769381523132324), Row(movie=3382, rating=6.919753074645996), Row(movie=2705, rating=6.90616512298584), Row(movie=2825, rating=6.893150806427002), Row(movie=2760, rating=6.620276927947998), Row(movie=3533, rating=6.252503871917725), Row(movie=2673, rating=6.094644069671631), Row(movie=844, rating=6.057241439819336), Row(movie=310, rating=6.031864166259766)]"
1342,"[Row(movie=557, rating=6.938709259033203), Row(movie=729, rating=6.363044738769531), Row(movie=1539, rating=5.96120548248291), Row(movie=3382, rating=5.879133224487305), Row(movie=3413, rating=5.835519790649414), Row(movie=1570, rating=5.819367408752441), Row(movie=776, rating=5.760781764984131), Row(movie=310, rating=5.679192543029785), Row(movie=3245, rating=5.417350769042969), Row(movie=853, rating=5.310911178588867)]"
2122,"[Row(movie=557, rating=7.196810245513916), Row(movie=3382, rating=6.887312412261963), Row(movie=310, rating=6.25514554977417), Row(movie=2192, rating=6.163636207580566), Row(movie=2209, rating=5.929543972015381), Row(movie=1138, rating=5.73264217376709), Row(movie=2219, rating=5.419832229614258), Row(movie=1039, rating=5.3564558029174805), Row(movie=2765, rating=5.297667980194092), Row(movie=2825, rating=5.291601657867432)]"
2142,"[Row(movie=2760, rating=8.78898811340332), Row(movie=310, rating=7.5608415603637695), Row(movie=2602, rating=7.480398654937744), Row(movie=557, rating=6.913561820983887), Row(movie=1567, rating=6.780220031738281), Row(movie=2675, rating=6.598919868469238), Row(movie=980, rating=6.596540451049805), Row(movie=776, rating=6.416756629943848), Row(movie=1651, rating=6.127631664276123), Row(movie=37, rating=5.941916465759277)]"
496,"[Row(movie=2602, rating=12.009355545043945), Row(movie=310, rating=10.260189056396484), Row(movie=2675, rating=9.32409954071045), Row(movie=2760, rating=8.761858940124512), Row(movie=1567, rating=8.533525466918945), Row(movie=2984, rating=8.33010196685791), Row(movie=37, rating=8.128607749938965), Row(movie=1651, rating=8.058942794799805), Row(movie=1930, rating=7.835378646850586), Row(movie=853, rating=7.791880130767822)]"
2366,"[Row(movie=2219, rating=7.917049407958984), Row(movie=2342, rating=7.592288017272949), Row(movie=630, rating=7.312967300415039), Row(movie=557, rating=6.8463544845581055), Row(movie=3382, rating=6.7839884757995605), Row(movie=3413, rating=6.769343852996826), Row(movie=874, rating=6.704038143157959), Row(movie=2197, rating=6.403264045715332), Row(movie=2984, rating=6.12109899520874), Row(movie=1891, rating=5.998215198516846)]"
2866,"[Row(movie=310, rating=9.704338073730469), Row(movie=2765, rating=8.216739654541016), Row(movie=3382, rating=6.570582866668701), Row(movie=557, rating=6.460124969482422), Row(movie=1039, rating=6.199710845947266), Row(movie=3333, rating=6.064036846160889), Row(movie=2679, rating=5.974363803863525), Row(movie=1519, rating=5.810787677764893), Row(movie=853, rating=5.711721420288086), Row(movie=2825, rating=5.706371307373047)]"
5156,"[Row(movie=2192, rating=9.708208084106445), Row(movie=557, rating=8.473758697509766), Row(movie=2825, rating=8.456247329711914), Row(movie=3382, rating=8.408695220947266), Row(movie=1138, rating=7.761232376098633), Row(movie=2800, rating=7.347392559051514), Row(movie=2562, rating=6.773972511291504), Row(movie=2765, rating=6.5718865394592285), Row(movie=874, rating=6.499731540679932), Row(movie=2219, rating=6.3844404220581055)]"
