,movieId,title,genres,average_rating
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.89
1,2,Jumanji (1995),Adventure|Children|Fantasy,3.25
2,3,Grumpier Old Men (1995),Comedy|Romance,3.14
3,4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.85
4,5,Father of the Bride Part II (1995),Comedy,3.06
5,6,Heat (1995),Action|Crime|Thriller,3.85
6,7,Sabrina (1995),Comedy|Romance,3.36
7,8,Tom and Huck (1995),Adventure|Children,3.11
8,9,Sudden Death (1995),Action,2.99
9,10,GoldenEye (1995),Action|Adventure|Thriller,3.42
10,11,"American President, The (1995)",Comedy|Drama|Romance,3.66
11,12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.62
12,13,Balto (1995),Adventure|Animation|Children,3.33
13,14,Nixon (1995),Drama,3.42
14,15,Cutthroat Island (1995),Action|Adventure|Romance,2.72
15,16,Casino (1995),Crime|Drama,3.82
16,17,Sense and Sensibility (1995),Drama|Romance,3.95
17,18,Four Rooms (1995),Comedy,3.38
18,19,Ace Ventura: When Nature Calls (1995),Comedy,2.64
19,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.87
20,21,Get Shorty (1995),Comedy|Crime|Thriller,3.57
21,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.32
22,23,Assassins (1995),Action|Crime|Thriller,3.15
23,24,Powder (1995),Drama|Sci-Fi,3.19
24,25,Leaving Las Vegas (1995),Drama|Romance,3.68
25,26,Othello (1995),Drama,3.61
26,27,Now and Then (1995),Children|Drama,3.4
27,28,Persuasion (1995),Drama|Romance,4.03
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.94
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.64
30,31,Dangerous Minds (1995),Drama,3.24
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.91
32,33,Wings of Courage (1995),Adventure|Romance|IMAX,3.02
33,34,Babe (1995),Children|Drama,3.6
34,35,Carrington (1995),Drama|Romance,3.48
35,36,Dead Man Walking (1995),Crime|Drama,3.92
36,37,Across the Sea of Time (1995),Documentary|IMAX,2.99
37,38,It Takes Two (1995),Children|Comedy,2.87
38,39,Clueless (1995),Comedy|Romance,3.42
39,40,"Cry, the Beloved Country (1995)",Drama,3.63
40,41,Richard III (1995),Drama|War,3.84
41,42,Dead Presidents (1995),Action|Crime|Drama,3.05
42,43,Restoration (1995),Drama,3.45
43,44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.65
44,45,To Die For (1995),Comedy|Drama|Thriller,3.38
45,46,How to Make an American Quilt (1995),Drama|Romance,3.26
46,47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.08
47,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,2.98
48,49,When Night Is Falling (1995),Drama|Romance,3.52
49,50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.28
50,51,Guardian Angel (1994),Action|Drama|Thriller,2.61
51,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.53
52,53,Lamerica (1994),Adventure|Drama,3.65
53,54,"Big Green, The (1995)",Children|Comedy,2.84
54,55,Georgia (1995),Drama,3.22
55,56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,1.92
56,57,Home for the Holidays (1995),Drama,3.32
57,58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,3.97
58,59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,3.56
59,60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.1
60,61,Eye for an Eye (1996),Drama|Thriller,3.32
61,62,Mr. Holland's Opus (1995),Drama,3.72
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,3.08
63,64,Two if by Sea (1996),Comedy|Romance,2.81
64,65,Bio-Dome (1996),Comedy,2.37
65,66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.14
66,67,Two Bits (1995),Drama,3.3
67,68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.43
68,69,Friday (1995),Comedy,3.56
69,70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.33
70,71,Fair Game (1995),Action,2.35
71,72,Kicking and Screaming (1995),Comedy|Drama,3.49
72,73,"Misérables, Les (1995)",Drama|War,3.8
73,74,Bed of Roses (1996),Drama|Romance,3.29
74,75,Big Bully (1996),Comedy|Drama,2.43
75,76,Screamers (1995),Action|Sci-Fi|Thriller,3.01
76,77,Nico Icon (1995),Documentary,3.4
77,78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.15
78,79,"Juror, The (1996)",Drama|Thriller,3.12
79,80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,3.75
80,81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.25
81,82,Antonia's Line (Antonia) (1995),Comedy|Drama,3.99
82,83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3.64
83,84,Last Summer in the Hamptons (1995),Comedy|Drama,3.36
84,85,Angels and Insects (1995),Drama|Romance,3.53
85,86,White Squall (1996),Action|Adventure|Drama,3.48
86,87,Dunston Checks In (1996),Children|Comedy,2.35
87,88,Black Sheep (1996),Comedy,3.11
88,89,Nick of Time (1995),Action|Thriller,3.13
89,90,The Journey of August King (1995),Drama,3.33
90,92,Mary Reilly (1996),Drama|Horror|Thriller,2.85
91,93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,2.49
92,94,Beautiful Girls (1996),Comedy|Drama|Romance,3.53
93,95,Broken Arrow (1996),Action|Adventure|Thriller,3.08
94,96,In the Bleak Midwinter (1995),Comedy|Drama,3.7
95,97,"Hate (Haine, La) (1995)",Crime|Drama,3.99
96,98,Shopping (1994),Action|Thriller,2.6
97,99,Heidi Fleiss: Hollywood Madam (1995),Documentary,3.1
98,100,City Hall (1996),Drama|Thriller,3.22
99,101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.77
100,102,Mr. Wrong (1996),Comedy,2.41
101,103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,3.26
102,104,Happy Gilmore (1996),Comedy,3.39
103,105,"Bridges of Madison County, The (1995)",Drama|Romance,3.33
104,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,3.44
105,107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,3.22
106,108,Catwalk (1996),Documentary,3.07
